"Name","Filenames","Variants","Style","Toe","HeelStyle","Material","Color","Decoration","Rare"
"030221-001","030221-001.PNG","1","涼鞋","露趾","細跟","霧面皮","黑","防水台, 一字帶","FALSE"
"ABF-032","ABF-032.1.png
ABF-032.2.png
ABF-032.png","3","包鞋, 涼鞋","露趾, 圓頭","細跟","漆皮","黑, 銀","踝帶, 側空","FALSE"
"ABF-092","ABF-092.1.png
ABF-092.png","2","包鞋, 長靴","魚頭, 圓頭","細跟, 粗跟","麂皮","黑","防水台","FALSE"
"ABF-108","ABF-108.1.PNG
ABF-108.PNG","2","包鞋","尖頭","細跟","霧面皮","黑","","FALSE"
"ABF-115","ABF-115.1.png
ABF-115.2.png
ABF-115.png","3","包鞋","尖頭","細跟, 粗跟","亮粉","銀","一字帶, 瑪莉珍, 踝帶","TRUE"
"ABF-311","ABF-311.1.PNG
ABF-311.PNG","2","包鞋","尖頭","細跟","霧面皮","黑","","FALSE"
"ABP-053","ABP-053.1.png
ABP-053.png","2","包鞋, 涼鞋","尖頭, 露趾","細跟","漆皮","黑, 桃紅","防水台, 一字帶","FALSE"
"ABP-229","ABP-229.1.PNG
ABP-229.2.PNG
ABP-229.3.PNG
ABP-229.4.PNG
ABP-229.5.PNG","5","包鞋, 長靴","尖頭, 圓頭","細跟, 粗跟","霧面皮, 漆皮, 亮粉","黑, 白, 銀","","FALSE"
"ABP-340","ABP-340.1.png
ABP-340.2.png
ABP-340.3.png
ABP-340.png","4","包鞋, 涼鞋","尖頭, 露趾","細跟","麂皮","黑, 白","T字帶, 一字帶","FALSE"
"ABP-412","ABP-412.1.png
ABP-412.2.png
ABP-412.3.png
ABP-412.png","4","包鞋, 涼鞋","尖頭, 露趾","細跟","漆皮","黑, 白","金邊","FALSE"
"ABP-466","ABP-466.1.png
ABP-466.2.png
ABP-466.png","3","包鞋, 涼鞋","尖頭, 露趾","細跟","漆皮","黑","蝴蝶結","FALSE"
"ABP-481","ABP-481.1.png
ABP-481.2.png
ABP-481.3.png
ABP-481.png","4","包鞋, 涼鞋","尖頭, 露趾, 圓頭","細跟, 粗跟","漆皮","黑, 白","防水台, 紅底, 踝帶","FALSE"
"ABP-556","ABP-556.PNG","1","包鞋","圓頭","細跟","霧面皮","白","防水台","FALSE"
"ABP-663","ABP-663.1.png
ABP-663.png","2","包鞋, 涼鞋","露趾, 圓頭","細跟","霧面皮","黑, 白","防水台, 一字帶","FALSE"
"ABP-682","ABP-682.1.png
ABP-682.2.png
ABP-682.3.png
ABP-682.png","4","包鞋, 涼鞋","尖頭, 露趾, 圓頭","細跟, 粗跟","漆皮","黑, 銀, 其他","防水台, 踝帶, 側空","FALSE"
"ABP-705","ABP-705.png","1","包鞋","尖頭","細跟","霧面皮","黑","踝帶","FALSE"
"ABP-708","ABP-708.png","1","包鞋","尖頭","細跟","霧面皮","黑","","FALSE"
"ABP-752","ABP-752.1.png
ABP-752.2.png
ABP-752.png","3","包鞋, 涼鞋","尖頭, 露趾","細跟","漆皮","黑, 透明","防水台, 踝帶, 金扣, 側空","FALSE"
"ABP-790","ABP-790.png","1","包鞋","圓頭","平底","霧面皮","黑","","FALSE"
"ABP-800","ABP-800.1.png
ABP-800.2.png
ABP-800.png","3","包鞋, 涼鞋","尖頭, 露趾, 圓頭","細跟","霧面皮","黑, 金, 銀","防水台","FALSE"
"ABP-841","ABP-841.1.png
ABP-841.png","2","包鞋, 涼鞋","尖頭, 露趾","細跟","霧面皮","黑, 白","踝帶","FALSE"
"ABP-894","ABP-894.PNG","1","包鞋","尖頭","細跟","霧面皮","黑","踝帶","FALSE"
"ABP-906","ABP-906.1.PNG
ABP-906.2.PNG
ABP-906.3.PNG
ABP-906.PNG","4","包鞋","尖頭","細跟","麂皮","黑","","FALSE"
"ABP-917","ABP-917.1.png
ABP-917.2.png
ABP-917.png","3","包鞋, 涼鞋","尖頭, 露趾","細跟","漆皮","黑, 米","一字帶, 紅底, 踝帶","FALSE"
"ABP-935","ABP-935.1.PNG
ABP-935.PNG","2","包鞋","尖頭","細跟","麂皮","黑","金邊, 側空","FALSE"
"ABP-941","ABP-941.1.PNG
ABP-941.PNG","2","包鞋","尖頭, 圓頭","細跟","麂皮","黑","","FALSE"
"ABP-958","ABP-958.1.png
ABP-958.png","2","包鞋, 涼鞋","尖頭, 露趾","細跟","漆皮","黑","T字帶, 踝帶","FALSE"
"ABP-984","ABP-984.PNG","1","長靴","尖頭","粗跟","麂皮","黑","金邊","FALSE"
"ABP-993","ABP-993.1.png
ABP-993.png","2","包鞋, 涼鞋","尖頭, 露趾","細跟","霧面皮","黑, 白","踝帶","FALSE"
"ABW-019","ABW-019.1.PNG
ABW-019.PNG","2","包鞋","尖頭","細跟","霧面皮, 漆皮","黑","","FALSE"
"ABW-052","ABW-052.png","1","包鞋","尖頭","細跟","漆皮","黑","","FALSE"
"ABW-080","ABW-080.1.png
ABW-080.2.png
ABW-080.3.png
ABW-080.4.png
ABW-080.png","5","包鞋, 涼鞋, 長靴","尖頭, 露趾, 圓頭","細跟, 粗跟","霧面皮, 漆皮","黑, 白, 紅, 透明","防水台, 紅底, 踝帶","FALSE"
"ABW-114","ABW-114.1.png
ABW-114.2.png
ABW-114.png","3","包鞋, 涼鞋","露趾, 圓頭","細跟","霧面皮","黑, 白","防水台, 一字帶, 金邊, 側空","FALSE"
"ABW-116","ABW-116.1.png
ABW-116.2.png
ABW-116.3.png
ABW-116.png","4","包鞋, 涼鞋","尖頭, 露趾, 魚頭","細跟","霧面皮, 漆皮","黑, 白, 透明","一字帶, 踝帶, 側空","FALSE"
"ABW-121","ABW-121.1.png
ABW-121.png","2","包鞋, 涼鞋","露趾, 圓頭","粗跟","霧面皮","黑","防水台, 一字帶","FALSE"
"ABW-132","ABW-132.1.png
ABW-132.2.png
ABW-132.3.png
ABW-132.4.png
ABW-132.png","5","包鞋","尖頭","細跟, 粗跟","霧面皮, 漆皮, 亮粉","黑, 白, 金","防水台","FALSE"
"ABW-133","ABW-133.1.png
ABW-133.2.png
ABW-133.png","3","包鞋, 涼鞋","露趾, 魚頭, 圓頭","細跟, 粗跟","霧面皮","黑, 白","防水台, T字帶, 一字帶, 踝帶","FALSE"
"ABW-137","ABW-137.1.png
ABW-137.png","2","包鞋","圓頭","平底, 粗跟","霧面皮, 漆皮","黑","防水台","TRUE"
"ABW-176","ABW-176.1.png
ABW-176.2.png
ABW-176.png","3","包鞋, 涼鞋","尖頭, 露趾","細跟, 粗跟","霧面皮, 漆皮","黑, 銀","防水台, 一字帶, 金邊, 踝帶, 側空","FALSE"
"ABW-182","ABW-182.1.png","1","包鞋","尖頭","細跟","霧面皮","黑","防水台","FALSE"
"ABW-202","ABW-202.1.PNG
ABW-202.2.PNG
ABW-202.PNG","3","包鞋","尖頭, 魚頭","細跟","霧面皮, 漆皮","黑","防水台","FALSE"
"ABW-208","ABW-208.png","1","包鞋","圓頭","細跟","霧面皮","其他","踝帶, 側空","FALSE"
"ABW-222","ABW-222.1.png
ABW-222.2.png
ABW-222.png","3","包鞋, 涼鞋","尖頭, 露趾","細跟","霧面皮, 漆皮","黑","T字帶, 紅底, 踝帶","FALSE"
"ABW-229","ABW-229.1.png
ABW-229.2.png
ABW-229.png","3","包鞋","尖頭, 圓頭","細跟, 粗跟","霧面皮, 亮粉","黑, 白, 銀","","FALSE"
"ABW-297","ABW-297.PNG","1","包鞋","尖頭","細跟","霧面皮","黑","","FALSE"
"ARA-082","ARA-082.PNG","1","包鞋","尖頭","細跟","霧面皮","白","","FALSE"
"BLK-543","BLK-543.png","1","包鞋","圓頭","細跟","漆皮","其他","防水台","FALSE"
"CEAD-488","CEAD-488.2.PNG","1","包鞋","尖頭","細跟","漆皮","桃紅","","FALSE"
"DPMI-029","DPMI-029.PNG","1","包鞋","尖頭","細跟","漆皮","白","側空","FALSE"
"DPMI-061","DPMI-061.PNG","1","長靴","尖頭","細跟","漆皮","白","","FALSE"
"DPMX-016","DPMX-016.2.png","1","涼鞋","露趾","細跟","漆皮","黑","防水台, 金邊","TRUE"
"GWDOM-002","GWDOM-002.5.png","1","包鞋","尖頭","細跟","麂皮","灰","側空","FALSE"
"KDMI-059","KDMI-059.1.PNG","1","長靴","尖頭","細跟","霧面皮","白","","FALSE"
"LEGSJAPAN-1099","legsjapan-1099.png","1","包鞋","圓頭","平底","霧面皮","黑","","FALSE"
